21:03:13 | INFO | peft_train | [540/3000] loss=0.1838 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.11s/it)
21:03:15 | INFO | peft_train | [560/3000] loss=0.3933 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:17 | INFO | peft_train | [580/3000] loss=0.2046 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:19 | INFO | peft_train | [600/3000] loss=0.0661 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:20 | INFO | peft_train | [620/3000] loss=0.0528 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:22 | INFO | peft_train | [640/3000] loss=0.0933 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:25 | INFO | peft_train | [660/3000] loss=0.0566 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:27 | INFO | peft_train | [680/3000] loss=0.2259 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:28 | INFO | peft_train | [700/3000] loss=0.3640 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:30 | INFO | peft_train | [720/3000] loss=0.1080 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:32 | INFO | peft_train | [740/3000] loss=0.7128 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:34 | INFO | peft_train | [760/3000] loss=0.1858 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:36 | INFO | peft_train | [780/3000] loss=0.2226 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:38 | INFO | peft_train | [800/3000] loss=0.1289 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:40 | INFO | peft_train | [820/3000] loss=0.2203 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:42 | INFO | peft_train | [840/3000] loss=0.0521 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:44 | INFO | peft_train | [860/3000] loss=0.1719 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:46 | INFO | peft_train | [880/3000] loss=0.1301 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:48 | INFO | peft_train | [900/3000] loss=0.1016 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:50 | INFO | peft_train | [920/3000] loss=0.1177 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:52 | INFO | peft_train | [940/3000] loss=0.2473 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:54 | INFO | peft_train | [960/3000] loss=0.1606 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:56 | INFO | peft_train | [980/3000] loss=0.1078 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:03:58 | INFO | peft_train | [1000/3000] loss=0.0928 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:00 | INFO | peft_train | 📊 Eval [1000]: pos=0.0765 rot=0.0341
21:04:02 | INFO | peft_train | [1020/3000] loss=0.0564 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.21s/it)
21:04:04 | INFO | peft_train | [1040/3000] loss=0.4027 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:06 | INFO | peft_train | [1060/3000] loss=0.0677 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:08 | INFO | peft_train | [1080/3000] loss=0.3934 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:10 | INFO | peft_train | [1100/3000] loss=0.1489 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:12 | INFO | peft_train | [1120/3000] loss=0.0506 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.11s/it)
21:04:14 | INFO | peft_train | [1140/3000] loss=0.0568 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.11s/it)
21:04:16 | INFO | peft_train | [1160/3000] loss=0.2167 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.11s/it)
