20:15:38 | INFO | train | [600/100000] loss=0.3758 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:40 | INFO | train | [620/100000] loss=0.1631 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:41 | INFO | train | [640/100000] loss=0.1910 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:43 | INFO | train | [660/100000] loss=0.1542 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:45 | INFO | train | [680/100000] loss=0.2077 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:47 | INFO | train | [700/100000] loss=0.1701 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:48 | INFO | train | [720/100000] loss=0.2297 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:50 | INFO | train | [740/100000] loss=0.1372 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:52 | INFO | train | [760/100000] loss=0.1464 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:54 | INFO | train | [780/100000] loss=0.1897 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:56 | INFO | train | [800/100000] loss=0.0922 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:57 | INFO | train | [820/100000] loss=0.1010 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:59 | INFO | train | [840/100000] loss=0.0843 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:01 | INFO | train | [860/100000] loss=0.1223 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:02 | INFO | train | [880/100000] loss=0.1275 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:04 | INFO | train | [900/100000] loss=0.1489 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:06 | INFO | train | [920/100000] loss=0.1184 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:08 | INFO | train | [940/100000] loss=0.1007 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:09 | INFO | train | [960/100000] loss=0.1289 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:11 | INFO | train | [980/100000] loss=0.1017 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:13 | INFO | train | [1000/100000] loss=0.1986 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
