09:22:58 | INFO | peft_train | [840/30000] loss=1.8403 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:00 | INFO | peft_train | [860/30000] loss=1.6186 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:02 | INFO | peft_train | [880/30000] loss=0.1040 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:04 | INFO | peft_train | [900/30000] loss=2.2277 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:06 | INFO | peft_train | [920/30000] loss=0.0992 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:08 | INFO | peft_train | [940/30000] loss=0.8551 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:10 | INFO | peft_train | [960/30000] loss=2.9501 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:12 | INFO | peft_train | [980/30000] loss=2.1182 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:14 | INFO | peft_train | [1000/30000] loss=3.0946 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:17 | INFO | peft_train | 📊 Eval [1000]: pos=0.5118 rot=0.0057
09:23:19 | INFO | peft_train | [1020/30000] loss=0.5553 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.22s/it)
09:23:21 | INFO | peft_train | [1040/30000] loss=0.1861 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.11s/it)
09:23:23 | INFO | peft_train | [1060/30000] loss=1.6513 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:25 | INFO | peft_train | [1080/30000] loss=0.1104 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:27 | INFO | peft_train | [1100/30000] loss=0.3821 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:29 | INFO | peft_train | [1120/30000] loss=0.1812 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.10s/it)
09:23:31 | INFO | peft_train | [1140/30000] loss=0.9892 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:33 | INFO | peft_train | [1160/30000] loss=0.1773 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:35 | INFO | peft_train | [1180/30000] loss=0.1667 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:37 | INFO | peft_train | [1200/30000] loss=0.4697 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:39 | INFO | peft_train | [1220/30000] loss=0.9162 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:41 | INFO | peft_train | [1240/30000] loss=0.6978 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:43 | INFO | peft_train | [1260/30000] loss=1.6974 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:45 | INFO | peft_train | [1280/30000] loss=0.4256 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:47 | INFO | peft_train | [1300/30000] loss=0.3316 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:49 | INFO | peft_train | [1320/30000] loss=0.3187 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:51 | INFO | peft_train | [1340/30000] loss=0.4181 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:53 | INFO | peft_train | [1360/30000] loss=0.1530 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:55 | INFO | peft_train | [1380/30000] loss=0.1702 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:57 | INFO | peft_train | [1400/30000] loss=1.0299 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:23:59 | INFO | peft_train | [1420/30000] loss=1.9739 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.10s/it)
09:24:01 | INFO | peft_train | [1440/30000] loss=0.3106 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.11s/it)
09:24:03 | INFO | peft_train | [1460/30000] loss=2.4222 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.10s/it)
09:24:05 | INFO | peft_train | [1480/30000] loss=0.3065 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.10s/it)
09:24:07 | INFO | peft_train | [1500/30000] loss=0.2232 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.11s/it)
09:24:09 | INFO | peft_train | [1520/30000] loss=0.1155 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.10s/it)
09:24:11 | INFO | peft_train | [1540/30000] loss=0.9204 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.10s/it)
09:24:13 | INFO | peft_train | [1560/30000] loss=0.0776 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.10s/it)
09:24:15 | INFO | peft_train | [1580/30000] loss=0.0735 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.10s/it)
09:24:17 | INFO | peft_train | [1600/30000] loss=0.1278 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.10s/it)
09:24:19 | INFO | peft_train | [1620/30000] loss=0.9437 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.10s/it)
09:24:22 | INFO | peft_train | [1640/30000] loss=0.2474 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.10s/it)
09:24:23 | INFO | peft_train | [1660/30000] loss=0.4145 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.10s/it)
09:24:25 | INFO | peft_train | [1680/30000] loss=1.7257 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.10s/it)
09:24:28 | INFO | peft_train | [1700/30000] loss=1.0112 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.10s/it)
09:24:30 | INFO | peft_train | [1720/30000] loss=0.2899 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.10s/it)
09:24:32 | INFO | peft_train | [1740/30000] loss=1.0806 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.10s/it)
09:24:34 | INFO | peft_train | [1760/30000] loss=1.2744 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.10s/it)
09:24:36 | INFO | peft_train | [1780/30000] loss=0.1870 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.10s/it)
09:24:37 | INFO | peft_train | [1800/30000] loss=0.3780 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.10s/it)
09:24:40 | INFO | peft_train | [1820/30000] loss=0.2237 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.10s/it)
