15:56:01 | INFO | peft_train | [840/200000] loss=0.0458 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:03 | INFO | peft_train | [860/200000] loss=0.0641 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:05 | INFO | peft_train | [880/200000] loss=0.1059 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:08 | INFO | peft_train | [900/200000] loss=0.0631 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:10 | INFO | peft_train | [920/200000] loss=0.0482 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:12 | INFO | peft_train | [940/200000] loss=0.0599 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:15 | INFO | peft_train | [960/200000] loss=0.1320 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:17 | INFO | peft_train | [980/200000] loss=0.0607 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:19 | INFO | peft_train | [1000/200000] loss=0.0650 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:22 | INFO | peft_train | [1020/200000] loss=0.0661 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:24 | INFO | peft_train | [1040/200000] loss=0.0799 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:26 | INFO | peft_train | [1060/200000] loss=0.0723 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:29 | INFO | peft_train | [1080/200000] loss=0.0853 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:31 | INFO | peft_train | [1100/200000] loss=0.0535 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:33 | INFO | peft_train | [1120/200000] loss=0.0615 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:36 | INFO | peft_train | [1140/200000] loss=0.0496 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:38 | INFO | peft_train | [1160/200000] loss=0.1203 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:40 | INFO | peft_train | [1180/200000] loss=0.0725 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:43 | INFO | peft_train | [1200/200000] loss=0.0461 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:45 | INFO | peft_train | [1220/200000] loss=0.0463 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:47 | INFO | peft_train | [1240/200000] loss=0.0886 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:50 | INFO | peft_train | [1260/200000] loss=0.0629 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:52 | INFO | peft_train | [1280/200000] loss=0.0530 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:54 | INFO | peft_train | [1300/200000] loss=0.0811 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
