18:58:40 | INFO | peft_train | [840/40000] loss=0.0479 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
18:58:42 | INFO | peft_train | [860/40000] loss=0.0461 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
18:58:45 | INFO | peft_train | [880/40000] loss=0.0716 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:58:47 | INFO | peft_train | [900/40000] loss=0.0410 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:58:50 | INFO | peft_train | [920/40000] loss=0.0565 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:58:52 | INFO | peft_train | [940/40000] loss=0.0453 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:58:55 | INFO | peft_train | [960/40000] loss=0.0458 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:58:57 | INFO | peft_train | [980/40000] loss=0.0462 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:58:59 | INFO | peft_train | [1000/40000] loss=0.0440 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:02 | INFO | peft_train | 📊 Eval [1000]: pos=0.0221 rot=0.0161
18:59:05 | INFO | peft_train | [1020/40000] loss=0.0897 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.27s/it)
18:59:07 | INFO | peft_train | [1040/40000] loss=0.0340 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:10 | INFO | peft_train | [1060/40000] loss=0.0360 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:12 | INFO | peft_train | [1080/40000] loss=0.0525 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:15 | INFO | peft_train | [1100/40000] loss=0.0473 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:17 | INFO | peft_train | [1120/40000] loss=0.0365 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:19 | INFO | peft_train | [1140/40000] loss=0.0372 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:22 | INFO | peft_train | [1160/40000] loss=0.0439 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
