22:11:13 | INFO | peft_train | [680/20000] loss=0.0307 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:15 | INFO | peft_train | [700/20000] loss=0.0359 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:18 | INFO | peft_train | [720/20000] loss=0.0464 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:20 | INFO | peft_train | [740/20000] loss=0.0298 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:22 | INFO | peft_train | [760/20000] loss=0.0385 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:25 | INFO | peft_train | [780/20000] loss=0.0320 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:27 | INFO | peft_train | [800/20000] loss=0.0364 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:29 | INFO | peft_train | [820/20000] loss=0.0317 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:32 | INFO | peft_train | [840/20000] loss=0.0354 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:34 | INFO | peft_train | [860/20000] loss=0.0340 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:36 | INFO | peft_train | [880/20000] loss=0.0303 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:39 | INFO | peft_train | [900/20000] loss=0.0440 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:41 | INFO | peft_train | [920/20000] loss=0.0362 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:43 | INFO | peft_train | [940/20000] loss=0.0319 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:46 | INFO | peft_train | [960/20000] loss=0.0286 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:48 | INFO | peft_train | [980/20000] loss=0.0481 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:50 | INFO | peft_train | [1000/20000] loss=0.0306 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
22:11:53 | INFO | peft_train | 📊 Eval [1000]: pos=0.0222 rot=0.0017
22:11:55 | INFO | peft_train | [1020/20000] loss=0.0376 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.25s/it)
22:11:58 | INFO | peft_train | [1040/20000] loss=0.0333 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
